"Location","OISST_mex","Date"
"Caletitas",27.9099998474121,1981-09-01
"Careyeros",28.1199989318848,1981-09-01
"Chimo",27.2799987792969,1981-09-01
"Islas_Marietas",29.9799995422363,1981-09-01
"Majahuitas",27.9099998474121,1981-09-01
"Uva_Island",27.8499984741211,1981-09-01
"Caletitas",27.9300003051758,1981-09-02
"Careyeros",28.189998626709,1981-09-02
"Chimo",27.3599987030029,1981-09-02
"Islas_Marietas",29.939998626709,1981-09-02
"Majahuitas",27.9300003051758,1981-09-02
"Uva_Island",27.5699996948242,1981-09-02
"Caletitas",28.0900001525879,1981-09-03
"Careyeros",28.3499984741211,1981-09-03
"Chimo",27.7999992370605,1981-09-03
"Islas_Marietas",29.9099998474121,1981-09-03
"Majahuitas",28.0900001525879,1981-09-03
"Uva_Island",27.2899990081787,1981-09-03
"Caletitas",28.7600002288818,1981-09-04
"Careyeros",29.0900001525879,1981-09-04
"Chimo",28.5900001525879,1981-09-04
"Islas_Marietas",29.8099994659424,1981-09-04
"Majahuitas",28.7600002288818,1981-09-04
"Uva_Island",28.2899990081787,1981-09-04
"Caletitas",28.8400001525879,1981-09-05
"Careyeros",29.1700000762939,1981-09-05
"Chimo",28.6599998474121,1981-09-05
"Islas_Marietas",29.6799983978271,1981-09-05
"Majahuitas",28.8400001525879,1981-09-05
"Uva_Island",28.5100002288818,1981-09-05
"Caletitas",28.9699993133545,1981-09-06
"Careyeros",29.2099990844727,1981-09-06
"Chimo",28.8699989318848,1981-09-06
"Islas_Marietas",29.8099994659424,1981-09-06
"Majahuitas",28.9699993133545,1981-09-06
"Uva_Island",28.3599987030029,1981-09-06
"Caletitas",29.3499984741211,1981-09-07
"Careyeros",29.5499992370605,1981-09-07
"Chimo",29.1299991607666,1981-09-07
"Islas_Marietas",29.5799999237061,1981-09-07
"Majahuitas",29.3499984741211,1981-09-07
"Uva_Island",28.0100002288818,1981-09-07
"Caletitas",29.5299987792969,1981-09-08
"Careyeros",29.6599998474121,1981-09-08
"Chimo",29.4200000762939,1981-09-08
"Islas_Marietas",29.2999992370605,1981-09-08
"Majahuitas",29.5299987792969,1981-09-08
"Uva_Island",27.8499984741211,1981-09-08
"Caletitas",29.3599987030029,1981-09-09
"Careyeros",29.5399990081787,1981-09-09
"Chimo",29.0900001525879,1981-09-09
"Islas_Marietas",29.2799987792969,1981-09-09
"Majahuitas",29.3599987030029,1981-09-09
"Uva_Island",27.8099994659424,1981-09-09
"Caletitas",29.3699989318848,1981-09-10
"Careyeros",29.5299987792969,1981-09-10
"Chimo",28.8999996185303,1981-09-10
"Islas_Marietas",29.2799987792969,1981-09-10
"Majahuitas",29.3699989318848,1981-09-10
"Uva_Island",27.8999996185303,1981-09-10
"Caletitas",29.439998626709,1981-09-11
"Careyeros",29.4799995422363,1981-09-11
"Chimo",28.9499988555908,1981-09-11
"Islas_Marietas",29.269998550415,1981-09-11
"Majahuitas",29.439998626709,1981-09-11
"Uva_Island",27.9499988555908,1981-09-11
"Caletitas",29.7899990081787,1981-09-12
"Careyeros",29.6599998474121,1981-09-12
"Chimo",29.4299983978271,1981-09-12
"Islas_Marietas",29.2799987792969,1981-09-12
"Majahuitas",29.7899990081787,1981-09-12
"Uva_Island",28.3699989318848,1981-09-12
"Caletitas",29.8299999237061,1981-09-13
"Careyeros",29.7899990081787,1981-09-13
"Chimo",29.5100002288818,1981-09-13
"Islas_Marietas",29.6299991607666,1981-09-13
"Majahuitas",29.8299999237061,1981-09-13
"Uva_Island",28.4099998474121,1981-09-13
"Caletitas",29.519998550415,1981-09-14
